no,아니요
wash,씻다
year,해/년
scissors,가위
eat,먹다
small,작은
blocks,블록
winter,겨울
dog,개
dirty,더러운
shirt,셔츠
kangaroo,캥거루
dress,원피스
chair,의자
plate,접시
bad,나쁜
who,누구
twelve,열둘
snow,눈
arm,팔
cheese,치즈
fast,빠른
fifteen,열다섯
hamster,햄스터
month,달/월
grass,잔디
catch,잡다
back,뒤
sixteen,열여섯
gloves,장갑
glue,풀
sleep,자다
evening,저녁
fourteen,열넷
teacher,선생님
front,앞
doll,인형
hat,모자
dolphin,돌고래
day,날/하루
shoulder,어깨
please,제발/부탁해
purple,보라색
fly,날다
ride,타다
close,닫다
brother,형/오빠/남동생
walk,걷다
bird,새
cloud,구름
mouse,쥐
week,주
thin,마른
friend,친구
goodbye,잘 가
sun,해
strong,힘센
uncle,삼촌
eight,여덟
fox,여우
Sunday,일요일
computer,컴퓨터
come,오다
grandfather,할아버지
crayon,크레용
thanks,고마워
cow,소
clean,깨끗한
leg,다리
skirt,치마
neck,목
hand,손
rabbit,토끼
kite,연
school,학교
paper,종이
cup,컵
coat,코트
good,좋은
cold,추운
look,보다
swim,수영하다
pink,분홍색
slow,느린
nineteen,열아홉
white,흰색
tree,나무
turtle,거북이
red,빨간색
yes,네
