actress,배우(여)
singing,노래하기
bus,버스
October,10월
meadow,초원
scientist,과학자
gardening,정원 가꾸기
city hall,시청
oval,타원
circle,원
principal,교장선생님
proud,자랑스러운
rude,무례한
suggest,제안하다
painter,화가
o'clock,정각
visit,방문하다
police officer,경찰관
taxi,택시
useless,쓸모없는
bee,벌
warn,경고하다
gym,체육관
uncomfortable,불편한
cloudy,흐린
singer,가수
trail,오솔길
factory,공장
admire,감탄하다
different,다른
camping,캠핑
confused,혼란스러운
dancer,무용수
plant,식물
square,정사각형
collect,모으다
weigh,무게를 재다
baking,빵 굽기
prepare,준비하다
auditorium,강당
judge,판사
honest,정직한
start,시작하다
kind,친절한
submarine,잠수함
bakery,빵집
spicy,매운
repair,고치다
windy,바람부는
theater,극장
tennis,테니스
cliff,절벽
complain,불평하다
diamond,다이아몬드 모양
desert,사막
bicycle,자전거
return,돌아오다/반납하다
music,음악
badminton,배드민턴
root,뿌리
November,11월
boxing,권투
niece,조카(여)
airplane,비행기
sour,신
baseball,야구
minute,분
tower,탑
doubt,의심하다
tunnel,터널
plan,계획하다
borrow,빌리다
history,역사
swimming,수영
volleyball,배구
introduce,소개하다
gymnastics,체조
decide,결정하다
create,만들다
invite,초대하다
hallway,복도
relieved,안도하는
toy store,장난감 가게
build,짓다
English,영어
writer,작가
Korean,국어
nephew,조카(남)
dream,꿈꾸다
bitter,쓴
