October,10월
gymnastics,체조
diamond,다이아몬드 모양
forest,숲
remember,기억하다
count,세다
begin,시작하다
invite,초대하다
schedule,시간표
hiking,등산
solve,풀다
auditorium,강당
brave,용감한
important,중요한
insect,곤충
temple,절
museum,박물관
bank,은행
August,8월
snowy,눈오는
minus,빼기
rainy,비오는
promise,약속하다
September,9월
writer,작가
respect,존중하다
baker,제빵사
badminton,배드민턴
continue,계속하다
boat,보트
safe,안전한
organize,정리하다
spicy,매운
forget,잊다
pilot,조종사
lawyer,변호사
hallway,복도
imagine,상상하다
airplane,비행기
July,7월
motorcycle,오토바이
disagree,반대하다
difficult,어려운
dangerous,위험한
practice,연습하다
recipe,조리법
fry,튀기다
sour,신
similar,비슷한
camping,캠핑
different,다른
worried,걱정하는
doctor,의사
meadow,초원
basketball,농구
exit,나가다
cloudy,흐린
June,6월
honest,정직한
confused,혼란스러운
bus,버스
engineer,기술자
weigh,무게를 재다
judge,판사
station,역
holiday,휴일
November,11월
sweet,달콤한
famous,유명한
ant,개미
fire truck,소방차
taekwondo,태권도
root,뿌리
actress,배우(여)
collect,모으다
guess,추측하다
class,수업
uncomfortable,불편한
bored,지루한
post office,우체국
lake,호수
embarrassed,당황한
kind,친절한
photographer,사진작가
guard,경비원
history,역사
visit,방문하다
cliff,절벽
waterfall,폭포
shy,수줍은
bakery,빵집
niece,조카(여)
rude,무례한
running,달리기
ambulance,구급차
suggest,제안하다
partner,짝
firefighter,소방관
plant,식물
golf,골프
doubt,의심하다
farm,농장
earthquake,지진
seed,씨앗
stranger,낯선 사람
scared,무서워하는
surprised,놀란
polite,예의바른
warm,따뜻한
plus,더하기
harbor,항구
curious,궁금한
nephew,조카(남)
fishing,낚시
hour,시간
bridge,다리(건축물)
designer,디자이너
attend,참석하다
drawing,그리기
uniform,교복
excited,신난
factory,공장
grow,자라다
December,12월
oval,타원
bee,벌
planet,행성
actor,배우(남)
skating,스케이트타기
nurse,간호사
soccer,축구
painter,화가
church,교회
dream,꿈꾸다
arrive,도착하다
dancer,무용수
subway,지하철
athlete,운동선수
Korean,국어
warn,경고하다
scientist,과학자
protect,보호하다
explain,설명하다
equal,같은
change,바꾸다
hope,바라다
volleyball,배구
taxi,택시
prepare,준비하다
cafeteria,급식실
