seven,일곱
lamp,램프
eighteen,열여덟
TV,텔레비전
brother,형/오빠/남동생
soup,수프
dress,원피스
hello,안녕(만났을 때)
rock,바위
cookie,쿠키
weak,약한
fish,물고기
elephant,코끼리
robot,로봇
four,넷
sorry,미안해
friend,친구
mountain,산
bag,가방
sky,하늘
chalk,분필
week,주
gray,회색
cake,케이크
teacher,선생님
throw,던지다
wash,씻다
green,초록색
family,가족
water,물
small,작은
where,어디
board,칠판
foot,발
hi,안녕
bye,안녕(헤어질 때)
next,다음/옆
eight,여덟
wind,바람
shoes,신발
spring,봄
fall,가을
in,안에
ear,귀
good,좋은
salad,샐러드
slow,느린
coat,코트
hamster,햄스터
up,위로
orange,주황색
on,위에
write,쓰다
whale,고래
you,너
fifteen,열다섯
twenty,스물
jacket,재킷
sister,누나/언니/여동생
close,닫다
finger,손가락
sing,노래하다
dolphin,돌고래
we,우리
blue,파란색
strawberry,딸기
when,언제
they,그들
zoo,동물원
hand,손
cheese,치즈
please,제발/부탁해
fast,빠른
thin,마른
angry,화난
bike,자전거
fly,날다
goodbye,잘 가
hamburger,햄버거
hair,머리카락
dance,춤추다
eleven,열하나
yesterday,어제
who,누구
six,여섯
head,머리
brown,갈색
five,다섯
white,흰색
yellow,노란색
