flood,홍수
fraction,분수
component,구성요소
certainly,확실히
inventor,발명가
perspective,관점
statistics,통계
population,인구
average,평균
independence,독립
right,권리
cause,원인이 되다
achieve,성취하다
ratio,비율
certificate,증명서
however,그러나
honesty,정직함
analyst,분석가
resource,자원
diagram,도표
summarize,요약하다
calculate,계산하다
process,과정
creative,창의적인
tolerate,견디다
habitat,서식지
sensitive,민감한
rule,규칙
culture,문화
strive,노력하다
chart,차트
survey,설문조사
background,배경
archipelago,군도
document,문서
cautious,신중한
improve,향상시키다
compare,비교하다
communicate,의사소통하다
therefore,그러므로
inspire,영감을 주다
observe,관찰하다
endure,견뎌내다
entrepreneur,사업가
recovery,회복
responsible,책임감 있는
gas,기체
opportunity,기회
confident,자신감 있는
motivate,동기를 부여하다
schedule,일정
especially,특히
environment,환경
theory,이론
curious,호기심 많은
force,힘
angle,각도
local,지역의
otherwise,그렇지 않으면
although,비록 ~이지만
imagine,상상하다
reduce,줄이다
wealth,부유함
estimate,추정하다
rainforest,열대우림
devote,헌신하다
industry,산업
guideline,지침
global,전 세계적인
traditional,전통적인
cooperate,협력하다
skeleton,골격
circuit,회로
sequence,수열
standard,기준
avalanche,눈사태
logical,논리적인
cultural,문화적인
arrogant,거만한
confidence,자신감
law,법
fail,실패하다
translator,번역가
protein,단백질
information,정보
researcher,연구원
usually,보통
longitude,경도
imagination,상상력
oxygen,산소
duty,의무
symptom,증상
poverty,가난
radius,반지름
architect,건축가
therapy,치료법
hemisphere,반구
succeed,성공하다
reaction,반응
agriculture,농업
achievement,성취
chemical,화학물질
actually,실제로
evidence,증거
natural,자연의
heritage,유산
donate,기부하다
requirement,요구사항
equator,적도
challenge,도전
democracy,민주주의
analyze,분석하다
probability,확률
sincere,진실한
magnet,자석
empower,힘을 실어주다
volunteer,자원봉사자
evolution,진화
political,정치적인
emotional,감정적인
savanna,사바나
creativity,창의성
available,이용 가능한
election,선거
freedom,자유
eventually,결국
area,넓이
knowledge,지식
carbon,탄소
immune,면역의
ancient,고대의
matter,물질
official,공식적인
hypothesis,가설
finally,마침내
technician,기술자
generally,일반적으로
investigate,조사하다
graph,그래프
conclusion,결론
globalization,세계화
sacrifice,희생하다
drought,가뭄
affect,영향을 미치다
influence,영향을 주다
tsunami,쓰나미
organ,장기
probably,아마도
publisher,출판인
besides,게다가
temperature,온도
solution,해결책
record,기록하다
overcome,극복하다
species,종(생물)
vitamin,비타민
ecosystem,생태계
predict,예측하다
hygiene,위생
resolve,해결하다
economic,경제적인
consultant,상담가
rational,이성적인
modest,겸손한
atmosphere,대기
social,사회적인
participate,참여하다
effort,노력
trade,무역
valuable,귀중한
considerate,배려하는
meanwhile,그 동안에
orbit,궤도
interpreter,통역가
humble,겸손한
prevent,예방하다
system,체계
criteria,기준(복수)
society,사회
manage,관리하다
plateau,고원
perimeter,둘레
glacier,빙하
energy,에너지
report,보고하다
determined,단호한
reason,이유
cope,대처하다
technology,기술
geometry,기하학
precious,소중한
accomplish,이루다
compromise,타협하다
aspect,측면
tundra,툰드라
tolerant,관대한
thoughtful,사려깊은
adapt,적응하다
assignment,과제
conclude,결론짓다
context,맥락
diplomat,외교관
ambitious,야심찬
median,중앙값
vaccine,백신
instead,대신에
questionnaire,설문지
tax,세금
pessimistic,비관적인
fact,사실
patience,인내심
economist,경제학자
politician,정치인
climate,기후
contribute,기여하다
communication,의사소통
opinion,의견
handle,다루다
cooperation,협동
disease,질병
project,과제/프로젝트
mental,정신적인
procedure,절차
liquid,액체
responsibility,책임
peninsula,반도
argument,논쟁
battery,건전지
memory,기억
editor,편집자
competition,경쟁
pollution,오염
medicine,약
tradition,전통
reasonable,합리적인
muscle,근육
suddenly,갑자기
presentation,발표
research,연구하다
instruction,지시
infection,감염
discover,발견하다
standpoint,입장
adjust,조정하다
organize,조직하다
physical,신체적인
comfortable,편안한
digital,디지털의
hurricane,허리케인
evaluate,평가하다
experience,경험
equation,방정식
material,재료
curiosity,호기심
economy,경제
convince,설득하다
decimal,소수
community,공동체
factor,요인
percentage,백분율
assumption,가정
gravity,중력
negotiate,협상하다
viewpoint,견해
canyon,협곡
solid,고체
treatment,치료
deadline,마감일
optimistic,낙관적인
efficient,효율적인
nation,국가
continent,대륙
virtual,가상의
stubborn,고집센
result,결과가 되다
government,정부
volume,부피
argue,주장하다
formula,공식
struggle,애쓰다
electricity,전기
structure,구조
pursue,추구하다
experiment,실험
create,창조하다
generous,너그러운
persuade,설득하다
dedicate,바치다
modern,현대의
practical,실용적인
situation,상황
courage,용기
artificial,인공의
element,요소
diameter,지름
latitude,위도
nutrition,영양
necessary,필요한
citizen,시민
delta,삼각주
