panda,판다
school,학교
run,달리다
shirt,셔츠
new,새로운
kangaroo,캥거루
blue,파란색
go,가다
salad,샐러드
fly,날다
pig,돼지
baby,아기
you,너
hat,모자
computer,컴퓨터
book,책
fall,가을
board,칠판
old,오래된
star,별
jump,뛰다
rice,밥/쌀
when,언제
banana,바나나
up,위로
dolphin,돌고래
dress,원피스
crayon,크레용
apple,사과
plate,접시
snake,뱀
TV,텔레비전
they,그들
cake,케이크
week,주
hand,손
hospital,병원
twelve,열둘
write,쓰다
happy,행복한
fourteen,열넷
green,초록색
right,오른쪽
deer,사슴
black,검은색
six,여섯
monkey,원숭이
gloves,장갑
mouth,입
tooth,이
shoulder,어깨
grandfather,할아버지
horse,말
draw,그리다
uncle,삼촌
wash,씻다
river,강
coat,코트
eat,먹다
cold,추운
glue,풀
eighteen,열여덟
giraffe,기린
gray,회색
flower,꽃
spoon,숟가락
fish,물고기
chalk,분필
he,그
sorry,미안해
cloud,구름
frog,개구리
scarf,목도리
under,아래에
sister,누나/언니/여동생
eight,여덟
three,셋
tiger,호랑이
come,오다
teacher,선생님
white,흰색
meat,고기
Saturday,토요일
afternoon,오후
Tuesday,화요일
sandwich,샌드위치
hair,머리카락
front,앞
notebook,공책
robot,로봇
