semester,학기
trust,믿다
doctor,의사
promise,약속하다
count,세다
popular,인기있는
athlete,운동선수
fire truck,소방차
taxi,택시
skiing,스키타기
taekwondo,태권도
triangle,삼각형
seed,씨앗
imagine,상상하다
March,3월
humid,습한
snowy,눈오는
volcano,화산
hour,시간
continue,계속하다
farm,농장
driver,운전사
astronaut,우주비행사
curious,궁금한
June,6월
subject,과목
surprised,놀란
table tennis,탁구
tennis,테니스
forest,숲
swimming,수영
bee,벌
fry,튀기다
baseball,야구
cool,시원한
actor,배우(남)
church,교회
rainy,비오는
minus,빼기
baker,제빵사
admire,감탄하다
science,과학
nervous,긴장한
badminton,배드민턴
noisy,시끄러운
weigh,무게를 재다
excited,신난
actress,배우(여)
drawing,그리기
lend,빌려주다
running,달리기
grandparent,조부모
useful,유용한
painter,화가
coast,해안
oval,타원
cafeteria,급식실
singing,노래하기
boil,끓이다
frozen,냉동된
path,길
fresh,신선한
ambulance,구급차
complain,불평하다
bitter,쓴
post office,우체국
quiet,조용한
warn,경고하다
November,11월
photographer,사진작가
proud,자랑스러운
basketball,농구
wonder,궁금해하다
January,1월
respect,존중하다
factory,공장
planet,행성
firefighter,소방관
test,시험
pond,연못
flavor,맛
solve,풀다
history,역사
motorcycle,오토바이
vet,수의사
airport,공항
tunnel,터널
English,영어
cousin,사촌
plant,식물
