avalanche,눈사태
deadline,마감일
process,과정
generally,일반적으로
arrogant,거만한
medicine,약
accomplish,이루다
cope,대처하다
estimate,추정하다
culture,문화
archipelago,군도
mental,정신적인
population,인구
democracy,민주주의
honesty,정직함
evaluate,평가하다
diagram,도표
fraction,분수
oxygen,산소
matter,물질
suddenly,갑자기
meanwhile,그 동안에
precious,소중한
effort,노력
industry,산업
agriculture,농업
hygiene,위생
ancient,고대의
investigate,조사하다
viewpoint,견해
schedule,일정
improve,향상시키다
rainforest,열대우림
solution,해결책
equator,적도
competition,경쟁
background,배경
theory,이론
symptom,증상
negotiate,협상하다
manage,관리하다
aspect,측면
cooperation,협동
radius,반지름
standard,기준
liquid,액체
practical,실용적인
instruction,지시
cooperate,협력하다
patience,인내심
continent,대륙
heritage,유산
circuit,회로
compare,비교하다
cause,원인이 되다
overcome,극복하다
rule,규칙
species,종(생물)
handle,다루다
rational,이성적인
immune,면역의
average,평균
creative,창의적인
assignment,과제
necessary,필요한
climate,기후
muscle,근육
economist,경제학자
opinion,의견
imagination,상상력
curiosity,호기심
strive,노력하다
official,공식적인
electricity,전기
ratio,비율
economic,경제적인
adjust,조정하다
information,정보
achieve,성취하다
requirement,요구사항
criteria,기준(복수)
translator,번역가
convince,설득하다
project,과제/프로젝트
otherwise,그렇지 않으면
glacier,빙하
plateau,고원
analyze,분석하다
community,공동체
diameter,지름
discover,발견하다
finally,마침내
probability,확률
pessimistic,비관적인
ecosystem,생태계
tax,세금
hemisphere,반구
technology,기술
cultural,문화적인
poverty,가난
society,사회
hypothesis,가설
latitude,위도
protein,단백질
graph,그래프
independence,독립
physical,신체적인
temperature,온도
thoughtful,사려깊은
record,기록하다
natural,자연의
inspire,영감을 주다
considerate,배려하는
comfortable,편안한
environment,환경
delta,삼각주
median,중앙값
ambitious,야심찬
tundra,툰드라
magnet,자석
curious,호기심 많은
fail,실패하다
artificial,인공의
diplomat,외교관
questionnaire,설문지
chart,차트
optimistic,낙관적인
presentation,발표
sequence,수열
instead,대신에
contribute,기여하다
chemical,화학물질
certainly,확실히
communicate,의사소통하다
situation,상황
decimal,소수
eventually,결국
certificate,증명서
challenge,도전
compromise,타협하다
efficient,효율적인
conclude,결론짓다
evolution,진화
imagine,상상하다
succeed,성공하다
achievement,성취
material,재료
freedom,자유
empower,힘을 실어주다
sincere,진실한
