Tuesday,화요일
bed,침대
strong,힘센
grandmother,할머니
fifteen,열다섯
cloud,구름
please,제발/부탁해
cute,귀여운
blue,파란색
bye,안녕(헤어질 때)
bike,자전거
fourteen,열넷
chalk,분필
teacher,선생님
puzzle,퍼즐
bread,빵
tree,나무
small,작은
old,오래된
juice,주스
rabbit,토끼
brother,형/오빠/남동생
pink,분홍색
plate,접시
we,우리
Monday,월요일
listen,듣다
run,달리다
green,초록색
nine,아홉
grape,포도
hamster,햄스터
pants,바지
purple,보라색
jacket,재킷
yellow,노란색
evening,저녁
who,누구
cake,케이크
balloon,풍선
dress,원피스
socks,양말
what,무엇
deer,사슴
twenty,스물
thanks,고마워
talk,말하다
ball,공
peach,복숭아
right,오른쪽
sing,노래하다
frog,개구리
jump,뛰다
chocolate,초콜릿
phone,전화기
soup,수프
friend,친구
I,나
school,학교
ride,타다
apple,사과
rain,비
hospital,병원
they,그들
afternoon,오후
shoulder,어깨
cheese,치즈
bird,새
look,보다
grass,잔디
garden,정원
swim,수영하다
sit,앉다
dirty,더러운
sorry,미안해
eat,먹다
whale,고래
climb,오르다
family,가족
summer,여름
ok,좋아/알았어
board,칠판
black,검은색
shirt,셔츠
arm,팔
nose,코
three,셋
he,그
cup,컵
mountain,산
