gold,금색
hospital,병원
white,흰색
rain,비
whale,고래
pencil,연필
three,셋
one,하나
pink,분홍색
kite,연
watermelon,수박
egg,달걀
clock,시계
market,시장
jump,뛰다
paper,종이
beach,해변
back,뒤
six,여섯
twelve,열둘
red,빨간색
pizza,피자
tall,키가 큰
where,어디
cat,고양이
hot,더운
look,보다
rock,바위
down,아래로
chocolate,초콜릿
nineteen,열아홉
bed,침대
close,닫다
climb,오르다
panda,판다
grass,잔디
sixteen,열여섯
wind,바람
flower,꽃
fat,뚱뚱한
stand,서다
cold,추운
thin,마른
toy car,장난감 자동차
eraser,지우개
cloud,구름
cheese,치즈
snow,눈
good,좋은
tomorrow,내일
hat,모자
foot,발
next,다음/옆
TV,텔레비전
day,날/하루
eye,눈
week,주
grandmother,할머니
slow,느린
coat,코트
swim,수영하다
come,오다
bread,빵
chair,의자
Saturday,토요일
duck,오리
blocks,블록
cup,컵
milk,우유
evening,저녁
chicken,닭
bird,새
weak,약한
mouth,입
we,우리
star,별
board,칠판
ruler,자
black,검은색
dress,원피스
restaurant,식당
horse,말
glue,풀
sun,해
seven,일곱
zoo,동물원
purple,보라색
blue,파란색
head,머리
zebra,얼룩말
eleven,열하나
juice,주스
shirt,셔츠
dad,아빠
I,나
lamp,램프
eight,여덟
strawberry,딸기
listen,듣다
right,오른쪽
chalk,분필
jam,잼
book,책
soup,수프
library,도서관
sit,앉다
sleep,자다
monkey,원숭이
in,안에
hello,안녕(만났을 때)
ball,공
four,넷
kangaroo,캥거루
grandfather,할아버지
please,제발/부탁해
run,달리다
bike,자전거
father,아버지
leg,다리
shoes,신발
boots,부츠
play,놀다
Monday,월요일
sorry,미안해
wash,씻다
thirteen,열셋
easy,쉬운
read,읽다
year,해/년
school,학교
summer,여름
lion,사자
sheep,양
jacket,재킷
big,큰
twenty,스물
new,새로운
on,위에
fly,날다
bad,나쁜
desk,책상
pants,바지
up,위로
dirty,더러운
night,밤
under,아래에
skirt,치마
fox,여우
moon,달
store,가게
