photographer,사진작가
running,달리기
wish,소망하다
grandparent,조부모
writer,작가
o'clock,정각
ship,배
tennis,테니스
uniform,교복
music,음악
protect,보호하다
forest,숲
careful,조심스러운
insect,곤충
surprised,놀란
lawyer,변호사
grow,자라다
May,5월
bus,버스
path,길
soccer,축구
October,10월
cloudy,흐린
discover,발견하다
discuss,의논하다
spicy,매운
measure,측정하다
schedule,시간표
suggest,제안하다
explain,설명하다
count,세다
warn,경고하다
station,역
table tennis,탁구
farmer,농부
camping,캠핑
singing,노래하기
rectangle,직사각형
recipe,조리법
triangle,삼각형
nurse,간호사
harbor,항구
golf,골프
post office,우체국
popular,인기있는
soldier,군인
collecting,수집하기
science,과학
honest,정직한
bookstore,서점
bee,벌
volcano,화산
cliff,절벽
imagine,상상하다
minus,빼기
baker,제빵사
judge,판사
admire,감탄하다
wonderful,멋진
solve,풀다
dentist,치과의사
cycling,자전거타기
history,역사
firefighter,소방관
scared,무서워하는
taekwondo,태권도
special,특별한
swamp,늪
leave,떠나다
useless,쓸모없는
homework,숙제
airplane,비행기
bakery,빵집
niece,조카(여)
cousin,사촌
second,초
theater,극장
square,정사각형
auditorium,강당
encourage,격려하다
subway,지하철
plus,더하기
fishing,낚시
confused,혼란스러운
singer,가수
safe,안전한
organize,정리하다
compare,비교하다
February,2월
desert,사막
