leaf,잎
bank,은행
taekwondo,태권도
describe,묘사하다
count,세다
motorcycle,오토바이
art,미술
change,바꾸다
scared,무서워하는
encourage,격려하다
snowy,눈오는
fresh,신선한
stranger,낯선 사람
triangle,삼각형
tunnel,터널
visit,방문하다
relieved,안도하는
warn,경고하다
music,음악
foggy,안개낀
salty,짠
harbor,항구
golf,골프
skiing,스키타기
bitter,쓴
tower,탑
grandparent,조부모
plus,더하기
volleyball,배구
July,7월
church,교회
planet,행성
mix,섞다
factory,공장
March,3월
painting,그림 그리기
honest,정직한
dancing,춤추기
careful,조심스러운
measure,측정하다
insect,곤충
recipe,조리법
similar,비슷한
lend,빌려주다
cool,시원한
organize,정리하다
popular,인기있는
holiday,휴일
truck,트럭
cheap,싼
excited,신난
continue,계속하다
bakery,빵집
boxing,권투
embarrassed,당황한
cooking,요리하기
lawyer,변호사
niece,조카(여)
path,길
history,역사
proud,자랑스러운
quiet,조용한
participate,참가하다
discuss,의논하다
swimming,수영
respect,존중하다
agree,동의하다
station,역
plant,식물
comfortable,편안한
brave,용감한
October,10월
bus,버스
April,4월
dangerous,위험한
arrange,배열하다
root,뿌리
rocket,로켓
choose,고르다
jogging,조깅
borrow,빌리다
farmer,농부
boat,보트
bicycle,자전거
practice,연습하다
important,중요한
special,특별한
semester,학기
math,수학
bridge,다리(건축물)
photographer,사진작가
lake,호수
drawing,그리기
airport,공항
engineer,기술자
sunny,화창한
plan,계획하다
librarian,사서
island,섬
principal,교장선생님
seed,씨앗
tennis,테니스
trail,오솔길
post office,우체국
subject,과목
uncomfortable,불편한
begin,시작하다
journalist,기자
careless,부주의한
create,만들다
oval,타원
cafeteria,급식실
ship,배
cycling,자전거타기
disappointed,실망한
compare,비교하다
imagine,상상하다
surprised,놀란
pilot,조종사
swamp,늪
test,시험
remember,기억하다
auditorium,강당
suggest,제안하다
magician,마술사
leave,떠나다
singing,노래하기
hope,바라다
basketball,농구
February,2월
safe,안전한
prepare,준비하다
forget,잊다
flavor,맛
collect,모으다
complain,불평하다
English,영어
scientist,과학자
subway,지하철
toy store,장난감 가게
bored,지루한
theater,극장
temple,절
badminton,배드민턴
circle,원
farm,농장
bookstore,서점
solve,풀다
valley,계곡
nurse,간호사
